*******  2020-04-01  *******

Incidents retrieved: 6

Event #1 - Date: ; Location: Saginaw'; Chems: ['CHLORINE-BASED PRODUCTS.', 'FURANS.', 'DIOXINS', 'DIOXIN-LIKE', 'FURANS', 'DIOXIN']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-could-return-in-Saginaw-following-6983154.php']
Event #58 - Date: 04/02/2019; Location: ; Chems: ['LEAD', 'PETROLEUM', 'TITANIUM DIOXIDE', 'ALUMINUM', 'OIL', 'SULFUR DIOXIDE']; Article Links: ['https://www.ourmidland.com/news/article/TCEQ-MONITOR-COMMENTS-BE-13826862.php']
Event #59 - Date: 04/02/2009; Location: Lansing; Chems: ['DIOXANE', '14-DIOXANE', 'OIL']; Article Links: ['https://www.ourmidland.com/state-news/article/Trust-wants-hungry-bacteria-to-remove-14257871.php']
Event #60 - Date: ; Location: ('', '', '', 'Lake', '', '', '', '', '', ''); Chems: []; Article Links: ['https://www.ourmidland.com/news/article/Dow-ramps-up-hand-sanitizer-manufacturing-efforts-15173740.php']
Event #61 - Date: 04/02/2006; Location: Troy; Chems: ['BENZOANTHRACENE', 'ARSENIC', 'BENZENE,', 'BENZOPYRENE,', 'PETROLEUM', 'TOLUENE', 'COAL GAS', 'AROMATIC HYDROCARBONS', 'XYLENE.']; Article Links: ['https://www.ourmidland.com/business/article/Pollution-cleanup-planned-for-South-Troy-site-13577218.php']
Event #62 - Date: 04/02/2014; Location: ('', '', 'Kyunghe', '', '', '', '', '', '', ''); Chems: ['CRUDE OIL', 'LEAD']; Article Links: ['https://www.ourmidland.com/business/article/China-s-crackdown-on-pollution-is-a-boon-to-the-13570026.php']
Event #63 - Date: 04/02/2018; Location: ; Chems: ['LEAD.']; Article Links: ['https://www.ourmidland.com/business/energy/article/ExxonMobil-to-report-plastic-pollution-spills-13723319.php']
Event #64 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/business/article/The-Company-That-Created-Robot-Pizza-Trucks-Is-13986729.php']
Event #65 - Date: ; Location: ('', '', 'Dee', '', '', '', '', '', '', ''); Chems: []; Article Links: ['https://www.ourmidland.com/news/politics/texas/article/Paxton-files-suit-against-Deer-Park-company-ITC-13710142.php']
Event #66 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/opinion/article/Editorial-Perils-of-plastic-pollution-13089861.php']
Event #67 - Date: 04/02/0137; Location: Norwal; Chems: []; Article Links: ['https://www.ourmidland.com/news/article/Film-on-plastic-pollution-screens-at-Wilton-13993331.php']

************  2020-04-05  ************

Incidents retrieved: 56

Event #1 - Date: 04/05/1990; Location: Michigan,; Chems: ['LEAD', 'GAS']; Article Links: ['https://www.ourmidland.com/news/article/A-word-from-Dr-Pfenninger-Interesting-health-9279608.php']
Event #2 - Date: ; Location: Energy'; Chems: ['HEAVY METALS', 'CHROMIUM', 'COAL ASH', 'ARSENIC', 'THALLIUM', 'CADMIUM.', 'TOXIC', 'LEAD', 'ASH.', 'ASH', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/nation-world/article/Judge-wants-to-review-scope-of-Duke-Energy-6906206.php']
Event #3 - Date: ; Location: ; Chems: ['NITROGEN', 'ASH']; Article Links: ['https://www.ourmidland.com/news/article/Dow-Chemical-Nature-Conservancy-explore-using-6934589.php']
Event #4 - Date: ; Location: Tittabawasse; Chems: ['ARSENIC', 'DIOXIN', 'CHLOROPHENOLS', 'ETHYL', 'CHLOROBENZENES,']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-cleanup-to-begin-next-to-Dow-s-Midland-6955174.php']
Event #5 - Date: ; Location: Saginaw'; Chems: ['DIOXINS', 'CHLORINE-BASED', 'DIOXIN-LIKE', 'DIOXIN', 'FURANS.', 'FURANS']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-could-return-in-Saginaw-following-6983154.php']
Event #6 - Date: 04/05/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7148033.php']
Event #7 - Date: 04/05/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7139221.php']
Event #8 - Date: 04/05/1990; Location: ('Tallapoos', '', '', '', '', '', '', '', '', ''); Chems: ['PCB-CONTAMINATED', 'PCBS', 'HAZARDOUS WASTES', 'TOXIC', 'HAZARDOUS WASTE']; Article Links: ['https://www.ourmidland.com/news/article/Blacks-Organize-to-Fight-Pollution-7148339.php']
Event #9 - Date: 04/05/1999; Location: ('Gratio', '', '', '', '', '', '', '', '', ''); Chems: ['POLYBROMINATED BIPHENYLS', 'PETROLEUM', 'HEXABROMOBENZENE.', 'ETHYL', 'METHYL', 'ACID', 'HYDROCHLORIC ACID', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-stretches-back-years-7047346.php']
Event #10 - Date: 04/05/2000; Location: Kisho; Chems: ['WASTEWATER']; Article Links: ['https://www.ourmidland.com/news/article/Israel-Warned-Against-Pollution-7082415.php']
Event #11 - Date: ; Location: Midland; Chems: ['SULFUR', 'GASOLINE.', 'NITROGEN', 'ACID', 'DIOXIDE.', 'ALUMINUM']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Announces-Air-Pollution-Reductions-7138779.php']
Event #12 - Date: 04/05/1995; Location: ('', '', '', 'Morr', '', '', '', '', '', ''); Chems: ['LEAD', 'OIL', 'SEWAGE']; Article Links: ['https://www.ourmidland.com/news/article/Disease-Pollution-Threaten-Calif-Otters-7110875.php']
Event #13 - Date: 04/05/2001; Location: ; Chems: ['HERBICIDES', 'HERBICIDE']; Article Links: ['https://www.ourmidland.com/news/article/Mich-Bans-Herbicide-Linked-to-Pollution-7204170.php']
Event #14 - Date: ; Location: ; Chems: ['OIL-DIRTIED', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Battles-Spreading-Oil-Pollution-7165479.php']
Event #15 - Date: 04/05/1980; Location: ; Chems: ['PESTICIDES', 'MEDICAL WASTE', 'LEAD-BASED', 'LEAD', 'GASOLINE', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Shows-Pollution-Risks-to-Children-7063491.php']
Event #16 - Date: 04/05/1980; Location: ; Chems: ['PESTICIDES', 'MEDICAL WASTE', 'LEAD-BASED', 'LEAD', 'GASOLINE', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/FDS-Shows-Pollution-Risks-to-Children-7088467.php']
Event #17 - Date: ; Location: Clinton; Chems: ['NITROGEN', 'ACID', 'SULFUR DIOXIDE', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/Whitman-Unveils-New-Pollution-Plan-7097661.php']
Event #18 - Date: ; Location: Stanton; Chems: ['NITROGEN', 'CONTAMINATE WATERWAYS', 'ACID', 'SULFUR DIOXIDE', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/Whitman-Rejects-Plan-Pollution-Claim-7064996.php']
Event #19 - Date: 04/05/1997; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/news/article/Japan-Praises-Anti-Pollution-Plan-7064866.php']
Event #20 - Date: ; Location: ; Chems: ['LEAD', 'CHROMIUM', 'STYRENE']; Article Links: ['https://www.ourmidland.com/news/article/Study-N-American-Pollution-Drops-5-Pct-7130064.php']
Event #21 - Date: 04/05/1994; Location: ; Chems: ['ARSENIC,', 'LEAD', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/DuPont-Settles-Pollution-Case-in-N-J-7182955.php']
Event #22 - Date: 04/05/1984; Location: ('', '', 'Mik', '', '', '', '', '', '', ''); Chems: ['PESTICIDE']; Article Links: ['https://www.ourmidland.com/news/article/Our-view-Ruling-applauded-but-Bhopal-pollution-7200493.php']
Event #23 - Date: 09/14/2001; Location: Clinton; Chems: ['DIOXIN-LIKE', 'METALS', 'ASBESTOS', 'CADMIUM', 'LEAD', 'PCBS,']; Article Links: ['https://www.ourmidland.com/news/article/U-S-WTC-Pollution-to-Have-Little-Effect-7143538.php']
Event #24 - Date: 09/14/2001; Location: Clinton; Chems: ['AIRBORNE']; Article Links: ['https://www.ourmidland.com/news/article/U-S-WTC-Pollution-to-Have-Little-Effect-7147761.php']
Event #25 - Date: ; Location: Clinton; Chems: ['NITROGEN', 'ACID', 'SULFUR DIOXIDE', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/Bush-May-Nix-Clinton-Pollution-Plan-7090503.php']
Event #26 - Date: ; Location: ; Chems: ['PETROCHEMICAL', 'BENZENE']; Article Links: ['https://www.ourmidland.com/opinions/editorials/article/ENTERPRISE-EDITORIAL-Legislature-should-heed-15065720.php']
Event #27 - Date: ; Location: Pin; Chems: ['OIL SLICK', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/City-Oil-slick-on-Pine-River-15084185.php']
Event #28 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/business/energy/article/Senate-weighs-overhaul-of-air-pollution-law-14813796.php']
Event #29 - Date: ; Location: ('Harri', '', '', '', '', '', '', '', '', ''); Chems: ['BENZENE', '13', 'NITROGEN', 'ETHYLENE OXIDE.', 'LEAD', 'CARBON MONOXIDE,']; Article Links: ['https://www.ourmidland.com/news/article/State-releases-final-reports-on-Imelda-related-14566308.php']
Event #30 - Date: ; Location: ('Gladwi', '', '', '', '', '', '', '', '', ''); Chems: []; Article Links: ['https://www.ourmidland.com/opinion/editorials/article/Our-View-A-10-year-old-girl-sets-an-example-13800114.php']
Event #31 - Date: 11/14/2019; Location: ('', '', '', '', '', '', '', 'Cypres', '', ''); Chems: ['PET', 'WASTEWATER', 'FECAL WASTE']; Article Links: ['https://www.ourmidland.com/neighborhood/cyfair/news/article/Cypress-Creek-Watershed-Partnership-working-to-14849369.php']
Event #32 - Date: ; Location: Mississipp; Chems: ['LEAD', 'CHLORIDE']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-solution-Town-seeks-alternative-for-14399320.php']
Event #33 - Date: ; Location: ; Chems: ['PETROCHEMICAL', 'SULFUR DIOXIDE', 'DIOXIDE.']; Article Links: ['https://www.ourmidland.com/opinions/editorials/article/Oxbow-change-must-not-cause-more-pollution-14362245.php']
Event #34 - Date: 04/05/2012; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/news/article/Dow-nbsp-outlines-nbsp-goal-tocombat-global-13440981.php']
Event #35 - Date: ; Location: ('', '', '', 'Coginchau', '', '', ''); Chems: ['HAZARDOUS WASTE']; Article Links: ['https://www.ourmidland.com/middletown/article/Clean-drinking-water-to-become-reality-after-14447413.php']
Event #36 - Date: 04/05/2017; Location: ; Chems: ['NITROGEN', 'NATURAL GAS', 'OIL']; Article Links: ['https://www.ourmidland.com/opinions/editorials/article/ENTERPRISE-EDITORIAL-Pollution-from-plastics-14421042.php']
Event #37 - Date: 09/12/2019; Location: America; Chems: ['GAS', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/Administration-plans-to-return-nation-to-1986-14433254.php']
Event #38 - Date: ; Location: Bridgeport; Chems: ['CHEMICAL', 'WASTEWATER', 'MERCURY']; Article Links: ['https://www.ourmidland.com/local/article/EPA-Pollution-is-down-in-Connecticut-13666004.php']
Event #39 - Date: ; Location: Bridgeport; Chems: ['CHEMICAL', 'WASTEWATER', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Connecticut-land-and-air-pollution-is-down-13664317.php']
Event #40 - Date: 11/16/1892; Location: ('Midlan', '', '', '', '', '', '', '', '', ''); Chems: ['LEAD', 'COPPER', 'ASHMAN']; Article Links: ['https://www.ourmidland.com/news/article/Lighting-up-Midland-14286614.php']
Event #41 - Date: 04/05/2020; Location: ; Chems: ['PFOS', 'PFAS.', 'PFAS', 'PFOA', 'PERFLUOROOCTANOIC ACID', 'POLYFLUOROALKYL SUBSTANCES', 'PERFLUOROOCTANESULFONIC ACID.']; Article Links: ['https://www.ourmidland.com/news/article/Gillibrand-introduces-legislation-to-contain-13845372.php']
Event #42 - Date: 08/05/2018; Location: Watervliet; Chems: ['CHROMIUM', 'HAZARDOUS WASTE.', 'ARSENAL']; Article Links: ['https://www.ourmidland.com/business/article/Arsenal-military-contractor-pays-air-pollution-13825488.php']
Event #43 - Date: 04/05/2019; Location: ('Fairfiel', '', '', '', '', '', '', '', '', ''); Chems: ['ASH']; Article Links: ['https://www.ourmidland.com/local/article/Connecticut-still-among-worst-in-U-S-with-ozone-13791081.php']
Event #44 - Date: ; Location: Watervliet; Chems: ['PCE', 'PCE-TAINTED']; Article Links: ['https://www.ourmidland.com/business/article/Pollution-cleanups-planned-for-two-dry-cleaning-13780764.php']
Event #45 - Date: ; Location: ; Chems: ['WASTE.', 'SILVER', 'ALUMINUM']; Article Links: ['https://www.ourmidland.com/news/article/Here-s-where-most-plastics-pollution-starts-13976816.php']
Event #46 - Date: ; Location: ; Chems: ['LEAD', 'CARBON DIOXIDE', 'DIOXIDE']; Article Links: ['https://www.ourmidland.com/news/article/Global-carbon-pollution-rises-13446232.php']
Event #47 - Date: 07/16/2018; Location: ; Chems: ['NITROGEN', 'WASTEWATER']; Article Links: ['https://www.ourmidland.com/news/article/Water-Pollution-Control-Authority-plans-to-13751202.php']
Event #48 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/technology/businessinsider/article/Cities-could-one-day-power-homes-and-fuel-cars-14131138.php']
Event #49 - Date: 04/05/2019; Location: ; Chems: ['ALUMINUM', 'PETROLEUM', 'TITANIUM DIOXIDE', 'LEAD', 'SULFUR DIOXIDE', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/TCEQ-MONITOR-COMMENTS-BE-13826862.php']
Event #50 - Date: 04/05/2009; Location: Lansing; Chems: ['14-DIOXANE', 'DIOXANE', 'OIL']; Article Links: ['https://www.ourmidland.com/state-news/article/Trust-wants-hungry-bacteria-to-remove-14257871.php']
Event #51 - Date: 04/05/2006; Location: Troy; Chems: ['XYLENE.', 'COAL GAS', 'ARSENIC', 'PETROLEUM', 'AROMATIC HYDROCARBONS', 'BENZOANTHRACENE', 'BENZENE,', 'TOLUENE', 'BENZOPYRENE,']; Article Links: ['https://www.ourmidland.com/business/article/Pollution-cleanup-planned-for-South-Troy-site-13577218.php']
Event #52 - Date: 04/05/2014; Location: ('', '', 'Kyunghe', '', '', '', '', '', '', ''); Chems: ['LEAD', 'CRUDE OIL']; Article Links: ['https://www.ourmidland.com/business/article/China-s-crackdown-on-pollution-is-a-boon-to-the-13570026.php']
Event #53 - Date: 04/05/2018; Location: ; Chems: ['LEAD.']; Article Links: ['https://www.ourmidland.com/business/energy/article/ExxonMobil-to-report-plastic-pollution-spills-13723319.php']
Event #54 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/business/article/The-Company-That-Created-Robot-Pizza-Trucks-Is-13986729.php']
Event #55 - Date: ; Location: ('', '', 'Dee', '', '', '', '', '', '', ''); Chems: []; Article Links: ['https://www.ourmidland.com/news/politics/texas/article/Paxton-files-suit-against-Deer-Park-company-ITC-13710142.php']
Event #56 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/opinion/article/Editorial-Perils-of-plastic-pollution-13089861.php']

************  2020-04-05  ************

Incidents retrieved: 9

Event #1 - Date: ; Location: Detroit; Chems: ['PHARMACEUTICAL', 'LEAD']; Article Links: ['https://www.detroitnews.com/story/news/nation/2020/04/05/virus-preparations-us-wasted-months/111521396/']
Event #2 - Date: 04/05/2018; Location: Atlanta; Chems: ['LEAD']; Article Links: ['https://www.detroitnews.com/story/news/nation/2020/04/05/timeline-coronavirus-spread-orders-lag/111521446/']
Event #3 - Date: 04/05/2020; Location: Carriers; Chems: []; Article Links: ['https://www.detroitnews.com/story/news/local/michigan/2020/04/04/great-lakes-freighters-precautions-virus/111520746/']
Event #4 - Date: ; Location: Detroit; Chems: ['PHARMACEUTICAL', 'LEAD']; Article Links: ['http://detroitnews.com/story/news/nation/2020/04/05/virus-preparations-us-wasted-months/111521396/']
Event #5 - Date: 04/05/2018; Location: Atlanta; Chems: ['LEAD']; Article Links: ['http://detroitnews.com/story/news/nation/2020/04/05/timeline-coronavirus-spread-orders-lag/111521446/']
Event #6 - Date: 04/05/1998; Location: Powde; Chems: ['NATURAL GAS', 'OIL', 'GAS', 'NATURAL GAS.', 'CARBON DIOXIDE', 'OIL.']; Article Links: ['https://www.detroitnews.com/story/opinion/2020/04/02/opinion-economic-consequences-fracking-ban/5098244002/']
Event #7 - Date: ; Location: Detroit; Chems: ['PHARMACEUTICAL', 'LEAD']; Article Links: ['http://www.detroitnews.com/story/news/nation/2020/04/05/virus-preparations-us-wasted-months/111521396/']
Event #8 - Date: 04/05/2018; Location: Atlanta; Chems: ['LEAD']; Article Links: ['http://www.detroitnews.com/story/news/nation/2020/04/05/timeline-coronavirus-spread-orders-lag/111521446/']
Event #9 - Date: 04/05/2016; Location: Detroit; Chems: []; Article Links: ['https://www.detroitnews.com/story/entertainment/dining/2020/03/25/youre-bartender-now-detroits-craft-cocktails-made-home/2902634001/']

************  2020-04-06  ************

Incidents retrieved: 5

Event #1 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['https://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #2 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #3 - Date: 04/06/1998; Location: Powde; Chems: ['OIL', 'NATURAL GAS.', 'NATURAL GAS', 'CARBON DIOXIDE', 'GAS', 'OIL.']; Article Links: ['https://www.detroitnews.com/story/opinion/2020/04/02/opinion-economic-consequences-fracking-ban/5098244002/']
Event #4 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #5 - Date: 04/06/2016; Location: Detroit; Chems: []; Article Links: ['https://www.detroitnews.com/story/entertainment/dining/2020/03/25/youre-bartender-now-detroits-craft-cocktails-made-home/2902634001/']

************  2020-04-06  ************

Incidents retrieved: 5

Event #1 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['https://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #2 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #3 - Date: 04/06/1998; Location: Powde; Chems: ['OIL.', 'NATURAL GAS', 'NATURAL GAS.', 'OIL', 'CARBON DIOXIDE', 'GAS']; Article Links: ['https://www.detroitnews.com/story/opinion/2020/04/02/opinion-economic-consequences-fracking-ban/5098244002/']
Event #4 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #5 - Date: 04/06/2016; Location: Detroit; Chems: []; Article Links: ['https://www.detroitnews.com/story/entertainment/dining/2020/03/25/youre-bartender-now-detroits-craft-cocktails-made-home/2902634001/']

************  2020-04-06  ************

Incidents retrieved: 5

Event #1 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['https://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #2 - Date: 04/06/2016; Location: Detroit; Chems: []; Article Links: ['https://www.detroitnews.com/story/entertainment/dining/2020/03/25/youre-bartender-now-detroits-craft-cocktails-made-home/2902634001/']
Event #3 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://www.detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']
Event #4 - Date: 04/06/1998; Location: Powde; Chems: ['NATURAL GAS', 'NATURAL GAS.', 'OIL.', 'OIL', 'CARBON DIOXIDE', 'GAS']; Article Links: ['https://www.detroitnews.com/story/opinion/2020/04/02/opinion-economic-consequences-fracking-ban/5098244002/']
Event #5 - Date: 12/03/2019; Location: Detroit; Chems: ['LEAD']; Article Links: ['http://detroitnews.com/story/news/nation/2020/04/06/navy-leader-calls-fired-carrier-captain-naive-stupid/111522618/']

************  2020-04-08  ************

Incidents retrieved: 149

Event #1 - Date: 04/08/1990; Location: Michigan,; Chems: ['LEAD', 'GAS']; Article Links: ['https://www.ourmidland.com/news/article/A-word-from-Dr-Pfenninger-Interesting-health-9279608.php']
Event #2 - Date: ; Location: Energy'; Chems: ['ASH.', 'THALLIUM', 'ARSENIC', 'ASH', 'CADMIUM.', 'HEAVY METALS', 'CHROMIUM', 'LEAD', 'TOXIC', 'MERCURY', 'COAL ASH']; Article Links: ['https://www.ourmidland.com/news/nation-world/article/Judge-wants-to-review-scope-of-Duke-Energy-6906206.php']
Event #3 - Date: ; Location: ; Chems: ['ASH', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/Dow-Chemical-Nature-Conservancy-explore-using-6934589.php']
Event #4 - Date: ; Location: Tittabawasse; Chems: ['CHLOROPHENOLS', 'ARSENIC', 'ETHYL', 'CHLOROBENZENES,', 'DIOXIN']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-cleanup-to-begin-next-to-Dow-s-Midland-6955174.php']
Event #5 - Date: ; Location: Saginaw'; Chems: ['DIOXINS', 'DIOXIN-LIKE', 'DIOXIN', 'FURANS', 'CHLORINE-BASED', 'FURANS.']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-could-return-in-Saginaw-following-6983154.php']
Event #6 - Date: 04/08/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7148033.php']
Event #7 - Date: 04/08/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7139221.php']
Event #8 - Date: 04/08/1990; Location: Mississipp; Chems: ['HAZARDOUS WASTE', 'PCBS', 'PCB-CONTAMINATED', 'HAZARDOUS WASTES', 'TOXIC']; Article Links: ['https://www.ourmidland.com/news/article/Blacks-Organize-to-Fight-Pollution-7148339.php']
Event #9 - Date: 04/08/1999; Location: Pin; Chems: ['ACID', 'HEXABROMOBENZENE.', 'ETHYL', 'POLYBROMINATED BIPHENYLS', 'METHYL', 'PETROLEUM', 'OIL', 'HYDROCHLORIC ACID']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-stretches-back-years-7047346.php']
Event #10 - Date: 04/08/2000; Location: Kisho; Chems: ['WASTEWATER']; Article Links: ['https://www.ourmidland.com/news/article/Israel-Warned-Against-Pollution-7082415.php']
Event #11 - Date: ; Location: Midland; Chems: ['DIOXIDE.', 'ACID', 'GASOLINE.', 'ALUMINUM', 'SULFUR', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Announces-Air-Pollution-Reductions-7138779.php']
Event #12 - Date: 04/08/1995; Location: Midland; Chems: ['LEAD', 'OIL', 'SEWAGE']; Article Links: ['https://www.ourmidland.com/news/article/Disease-Pollution-Threaten-Calif-Otters-7110875.php']
Event #13 - Date: 04/08/2001; Location: ; Chems: ['HERBICIDES', 'HERBICIDE']; Article Links: ['https://www.ourmidland.com/news/article/Mich-Bans-Herbicide-Linked-to-Pollution-7204170.php']
Event #14 - Date: ; Location: ; Chems: ['OIL', 'OIL-DIRTIED']; Article Links: ['https://www.ourmidland.com/news/article/France-Battles-Spreading-Oil-Pollution-7165479.php']
Event #15 - Date: 04/08/1980; Location: ; Chems: ['PESTICIDES', 'LEAD', 'LEAD-BASED', 'GASOLINE', 'MERCURY', 'MEDICAL WASTE']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Shows-Pollution-Risks-to-Children-7063491.php']
Event #16 - Date: 04/08/1980; Location: ; Chems: ['PESTICIDES', 'LEAD', 'LEAD-BASED', 'GASOLINE', 'MERCURY', 'MEDICAL WASTE']; Article Links: ['https://www.ourmidland.com/news/article/FDS-Shows-Pollution-Risks-to-Children-7088467.php']
Event #17 - Date: ; Location: Clinton; Chems: ['SULFUR DIOXIDE', 'MERCURY', 'ACID', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/Whitman-Unveils-New-Pollution-Plan-7097661.php']
Event #18 - Date: ; Location: Stanton; Chems: ['CONTAMINATE WATERWAYS', 'SULFUR DIOXIDE', 'ACID', 'MERCURY', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/Whitman-Rejects-Plan-Pollution-Claim-7064996.php']
Event #19 - Date: 04/08/1997; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/news/article/Japan-Praises-Anti-Pollution-Plan-7064866.php']
Event #20 - Date: ; Location: ; Chems: ['LEAD', 'STYRENE', 'CHROMIUM']; Article Links: ['https://www.ourmidland.com/news/article/Study-N-American-Pollution-Drops-5-Pct-7130064.php']
Event #21 - Date: 04/08/1994; Location: ; Chems: ['LEAD', 'ARSENIC,', 'MERCURY']; Article Links: ['https://www.ourmidland.com/news/article/DuPont-Settles-Pollution-Case-in-N-J-7182955.php']
Event #22 - Date: 04/08/1984; Location: Mik; Chems: ['PESTICIDE']; Article Links: ['https://www.ourmidland.com/news/article/Our-view-Ruling-applauded-but-Bhopal-pollution-7200493.php']
Event #23 - Date: 09/14/2001; Location: Clinton; Chems: ['METALS', 'PCBS,', 'LEAD', 'DIOXIN-LIKE', 'CADMIUM', 'ASBESTOS']; Article Links: ['https://www.ourmidland.com/news/article/U-S-WTC-Pollution-to-Have-Little-Effect-7143538.php']
Event #24 - Date: 09/14/2001; Location: Clinton; Chems: ['AIRBORNE']; Article Links: ['https://www.ourmidland.com/news/article/U-S-WTC-Pollution-to-Have-Little-Effect-7147761.php']
Event #25 - Date: ; Location: Clinton; Chems: ['SULFUR DIOXIDE', 'MERCURY', 'ACID', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/Bush-May-Nix-Clinton-Pollution-Plan-7090503.php']
Event #26 - Date: ; Location: ; Chems: ['PETROCHEMICAL', 'BENZENE']; Article Links: ['https://www.ourmidland.com/opinions/editorials/article/ENTERPRISE-EDITORIAL-Legislature-should-heed-15065720.php']
Event #27 - Date: ; Location: Pin; Chems: ['OIL', 'OIL SLICK']; Article Links: ['https://www.ourmidland.com/news/article/City-Oil-slick-on-Pine-River-15084185.php']
Event #28 - Date: ; Location: ; Chems: []; Article Links: ['https://www.ourmidland.com/business/energy/article/Senate-weighs-overhaul-of-air-pollution-law-14813796.php']
Event #29 - Date: ; Location: ; Chems: ['13', 'BENZENE', 'LEAD', 'ETHYLENE OXIDE.', 'CARBON MONOXIDE,', 'NITROGEN']; Article Links: ['https://www.ourmidland.com/news/article/State-releases-final-reports-on-Imelda-related-14566308.php']
Event #30 - Date: ; Location: Midland; Chems: []; Article Links: ['https://www.ourmidland.com/opinion/editorials/article/Our-View-A-10-year-old-girl-sets-an-example-13800114.php']
Event #31 - Date: 11/14/2019; Location: ; Chems: ['FECAL WASTE', 'WASTEWATER', 'PET']; Article Links: ['https://www.ourmidland.com/neighborhood/cyfair/news/article/Cypress-Creek-Watershed-Partnership-working-to-14849369.php']
Event #32 - Date: ; Location: Mississipp; Chems: ['LEAD', 'CHLORIDE']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-solution-Town-seeks-alternative-for-14399320.php']
Event #33 - Date: ; Location: ; Chems: ['SULFUR DIOXIDE', 'DIOXIDE.', 'PETROCHEMICAL']; Article Links: ['https://www.ourmidland.com/opinions/editorials/article/Oxbow-change-must-not-cause-more-pollution-14362245.php']
